"PRICE","SQUARE.FEET","LOT.SIZE","BEDS","BATHS","AGE","ADDRESS","CITY","ZIP.OR.POSTAL.CODE","SOLD.DATE"
1868500,1812,6229,3,3,76,"4052 Albright Ave","Culver City",90066,"April-20-2022"
2350000,1964,5249,4,3,65,"1115 Lake St","Venice",90291,"July-1-2022"
2750000,1733,5945,3,2,73,"1525 Glencoe Ave","Venice",90291,"July-21-2022"
2317455,1600,6044,3,2,69,"12738 Indianapolis St","Los Angeles",90066,"July-11-2022"
3750000,2917,4377,3,3.5,101,"135 Ocean Way","Santa Monica",90402,"June-24-2022"
3789750,2298,9365,4,3,69,"1374 Beckwith Ave","Los Angeles",90049,"April-25-2022"
3990000,1707,7574,3,2,93,"336 22nd St","Santa Monica",90402,"July-7-2022"
1182500,927,7006,2,1,96,"1233 Princeton St","Santa Monica",90404,""
2255000,1896,6657,4,3,73,"1067 26th St","Santa Monica",90403,"July-18-2022"
2500000,1307,6103,3,1.5,74,"1033 Chelsea Ave","Santa Monica",90403,"August-4-2022"
3055000,2829,5501,4,3,34,"12035 Marine St","Los Angeles",90066,"June-13-2022"
1950000,1550,5740,3,2,72,"12701 Marco Pl","Los Angeles",90066,"July-29-2022"
2010000,1883,7129,3,2,87,"2502 20th St","Santa Monica",90405,"March-14-2022"
1930000,1341,5096,3,2,84,"3107 17th St","Santa Monica",90405,"July-29-2022"
1814000,1885,8814,4,3,70,"3766 Grand View Blvd","Los Angeles",90066,""
2700000,2675,9587,4,3,72,"3555 Grand View Blvd","Mar Vista",90066,"August-8-2022"
1718000,1022,7376,3,1,78,"1912 S Westgate Ave","Los Angeles",90025,"June-27-2022"
2350000,2144,8081,3,3,76,"1902 S Westgate Ave","Los Angeles",90025,"June-1-2022"
3215000,2025,7300,3,2.5,92,"1315 Woodruff Ave","Los Angeles",90024,"June-16-2022"
2899000,2072,7375,4,3,97,"1416 Crestview Ct","Los Angeles",90024,"July-20-2022"
