Player,Age,Team,Pos,FGA,X3PA,X2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Bismack Biyombo,32,SAS,C,114,0,114,25,43,115,158,31,16,23,27,52,144,2296274
Ousmane Dieng,21,OKC,C,125,71,54,16,18,63,81,31,17,7,18,33,142,6670882
Devin Carter,22,SAC,PG,127,61,66,44,19,57,76,41,21,4,18,39,138,4923720
Luka Garza,26,MIN,C,105,36,69,35,31,23,54,11,6,3,12,29,138,2461463
Kyle Lowry,38,PHI,PG,117,88,29,33,11,56,67,96,33,11,21,62,138,2296274
Terrence Shannon Jr.,24,MIN,SG,114,31,83,21,10,37,47,32,7,5,15,27,138,2674080
Marvin Bagley III,25,2TM,PF,106,19,87,35,38,46,84,11,9,8,12,18,136,2296274
Dillon Jones,23,OKC,SF,133,63,70,28,30,91,121,58,16,4,28,54,135,2753280
Isaac Jones,24,SAC,PF,83,8,75,36,22,35,57,12,5,10,16,30,134,1955377
Hunter Tyson,24,DEN,PF,120,74,46,28,25,53,78,20,10,6,14,44,134,2221677
Anthony Gill,32,WAS,PF,88,31,57,50,18,48,66,16,9,2,10,30,129,2296274
Kevin Love,36,MIA,PF,115,67,48,23,22,72,94,22,15,4,14,21,122,4150000
Josh Minott,22,MIN,SF,90,43,47,19,12,35,47,18,15,12,11,34,119,2378870
Robert Williams,27,POR,C,78,3,75,17,35,83,118,21,13,33,17,31,116,13285713
Dariq Whitehead,20,BRK,SF,96,74,22,5,4,25,29,12,6,1,15,22,114,3262560
Dwight Powell,33,DAL,C,61,5,56,43,47,71,118,55,18,21,18,75,114,4000000
Baylor Scheierman,24,BOS,SG,110,82,28,12,19,46,65,33,17,2,12,22,113,2619000
John Konchar,28,MEM,SG,91,62,29,8,37,114,151,42,30,14,16,32,112,6165000
Matisse Thybulle,27,POR,SG,88,48,40,15,14,38,52,28,33,9,13,14,112,11550000
Drew Timme,24,BRK,PF,102,35,67,16,17,48,65,20,4,1,15,21,109,1955377
Jaden Springer,22,2TM,PG,90,48,42,38,17,41,58,33,24,4,16,42,109,70732
Cam Spencer,24,MEM,SG,82,52,30,19,12,18,30,34,9,1,6,23,106,2537989
Johnny Furphy,20,IND,SG,92,50,42,22,23,48,71,19,18,11,12,41,103,1955377
Maxi Kleber,33,DAL,PF,96,49,47,21,25,70,95,43,9,17,23,66,103,11000000
Jericho Sims,26,2TM,C,71,0,71,13,71,126,197,33,10,19,33,65,98,2461463
Jordan McLaughlin,28,2TM,PG,72,46,26,22,6,24,30,51,16,1,16,18,98,2296274
Mitchell Robinson,26,NYK,C,56,0,56,19,52,49,101,13,16,18,10,26,87,12954546
Dru Smith,27,MIA,SG,61,30,31,12,12,24,36,23,21,6,17,30,87,2378870
Jordan Walsh,20,BOS,PF,83,55,28,12,23,46,69,19,12,11,17,30,82,2221677
Tyler Kolek,23,NYK,PG,82,47,35,17,8,19,27,70,12,4,18,26,81,2191897
Kobe Brown,25,LAC,PF,72,26,46,7,19,46,65,24,7,4,12,23,77,2654880
Tyler Smith,20,MIL,PF,50,30,20,8,6,19,25,4,3,4,8,11,67,1955377
Bronny James,20,LAL,SG,67,32,35,14,4,14,18,22,9,3,13,13,62,1955377
De'Anthony Melton,26,GSW,SG,54,35,19,8,6,14,20,17,7,2,10,18,62,3080921
Tony Bradley,27,IND,C,45,3,42,6,18,24,42,6,2,9,5,11,61,2940876
Dario Šarić,30,DEN,C,58,26,32,10,14,36,50,23,7,1,15,19,56,5426400
